Station,Lat,Lon,Parking,Passengers Daily,
Shady Grove Station,39.119972,-77.164750,"5,467","13,308",
Rockville Station,39.084238,-77.146125,524,4769,
Twinbrook Station,39.062389,-77.120778,"1,097","1,097",
White Flint Station,39.048043,-77.113131,982,"3,889",
Grosvenor Strathmore,39.029188,-77.103904,"1,796","5,795",
Medical Center Station,38.999067,-77.097676,0.000000,"5,988",
Bethesda Station,38.984605,-77.094586,0.000000,"10,875",
Friendship Heights Station,38.960921,-77.086059,0.000000,9620,
Glenmont Station,39.061778,-77.053056,"2,998",6270,
Wheaton Station,39.038600,-77.050800,977,"4,231",
Forest Glen Station,39.015300,-77.043000,592,"2,382",
Silver Springs Station,38.993841,-77.031321,715,"13,195",
Takoma Station,38.975532,-77.017834,146,5813,
Fort Totten Station,38.951777,-77.002174,408,"7,976",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,